Results Table 1


Results Table 2


Time,Displacement,Force,Compressive displacement,Compressive strain (Displacement),Compressive stress,PIP count
(s),(mm),(kN),(mm),(%),(MPa),
"2.8400","2.3687","0.0000","2.3687","1.5791","-0.0021","0.0000"
"2.8600","2.3853","0.0000","2.3853","1.5902","-0.0011","0.0000"
"2.8800","2.4021","0.0000","2.4021","1.6014","-0.0017","0.0000"
"2.9000","2.4187","0.0000","2.4187","1.6125","-0.0018","0.0000"
"2.9200","2.4355","0.0000","2.4355","1.6237","-0.0023","0.0000"
"2.9400","2.4518","0.0000","2.4518","1.6345","0.0010","0.0000"
"2.9600","2.4681","0.0000","2.4681","1.6454","0.0015","0.0000"
"2.9800","2.4848","0.0000","2.4848","1.6566","-0.0003","0.0000"
"3.0000","2.5017","0.0000","2.5017","1.6678","0.0012","0.0000"
"3.0200","2.5184","0.0000","2.5184","1.6789","0.0002","0.0000"
"3.0400","2.5351","0.0000","2.5351","1.6901","0.0013","0.0000"
"3.0600","2.5520","0.0000","2.5520","1.7013","0.0023","0.0000"
"3.0800","2.5685","0.0000","2.5685","1.7124","0.0001","0.0000"
"3.1000","2.5848","0.0000","2.5848","1.7232","-0.0007","0.0000"
"3.1200","2.6017","0.0000","2.6017","1.7345","0.0008","0.0000"
"3.1400","2.6186","0.0000","2.6186","1.7457","0.0008","0.0000"
"3.1600","2.6352","0.0000","2.6352","1.7568","-0.0001","0.0000"
"3.1800","2.6518","0.0000","2.6518","1.7678","0.0007","0.0000"
"3.2000","2.6686","0.0000","2.6686","1.7791","-0.0002","0.0000"
"3.2200","2.6853","0.0000","2.6853","1.7902","-0.0047","0.0000"
"3.2400","2.7016","0.0000","2.7016","1.8011","-0.0034","0.0000"
"3.2600","2.7181","0.0000","2.7181","1.8121","-0.0011","0.0000"
"3.2800","2.7350","0.0000","2.7350","1.8233","0.0018","0.0000"
"3.3000","2.7518","0.0000","2.7518","1.8345","0.0022","0.0000"
"3.3200","2.7684","0.0000","2.7684","1.8456","0.0030","0.0000"
"3.3400","2.7852","0.0000","2.7852","1.8568","0.0027","0.0000"
"3.3600","2.8022","0.0000","2.8022","1.8681","0.0012","0.0000"
"3.3800","2.8188","0.0000","2.8188","1.8792","0.0008","0.0000"
"3.4000","2.8351","0.0000","2.8351","1.8901","0.0013","0.0000"
"3.4200","2.8517","0.0000","2.8517","1.9012","0.0002","0.0000"
"3.4400","2.8686","0.0000","2.8686","1.9124","0.0011","0.0000"
"3.4600","2.8852","0.0000","2.8852","1.9234","0.0020","0.0000"
"3.4800","2.9018","0.0000","2.9018","1.9345","0.0030","0.0000"
"3.5000","2.9186","0.0000","2.9186","1.9457","0.0030","0.0000"
"3.5200","2.9351","0.0000","2.9351","1.9567","-0.0001","0.0000"
"3.5400","2.9514","0.0000","2.9514","1.9676","0.0003","0.0000"
"3.5600","2.9680","0.0000","2.9680","1.9787","-0.0007","0.0000"
"3.5800","2.9850","-0.0001","2.9850","1.9900","-0.0054","0.0000"
"3.6000","3.0019","-0.0001","3.0019","2.0013","-0.0086","0.0000"
"3.6200","3.0183","0.0000","3.0183","2.0122","0.0000","0.0000"
"3.6400","3.0350","0.0001","3.0350","2.0233","0.0059","0.0000"
"3.6600","3.0519","0.0000","3.0519","2.0346","0.0023","0.0000"
"3.6800","3.0685","0.0000","3.0685","2.0457","0.0001","0.0000"
"3.7000","3.0849","0.0000","3.0849","2.0566","-0.0020","0.0000"
"3.7200","3.1017","0.0000","3.1017","2.0678","-0.0005","0.0000"
"3.7400","3.1187","0.0000","3.1187","2.0791","0.0028","0.0000"
"3.7600","3.1353","0.0000","3.1353","2.0902","0.0038","0.0000"
"3.7800","3.1518","0.0000","3.1518","2.1012","0.0043","0.0000"
"3.8000","3.1685","0.0001","3.1685","2.1123","0.0071","0.0000"
"3.8200","3.1853","0.0001","3.1853","2.1235","0.0073","0.0000"
"3.8400","3.2018","0.0001","3.2018","2.1345","0.0060","0.0000"
"3.8600","3.2183","0.0000","3.2183","2.1455","0.0022","0.0000"
"3.8800","3.2353","0.0000","3.2353","2.1569","0.0021","0.0000"
"3.9000","3.2521","0.0000","3.2521","2.1681","0.0047","0.0000"
"3.9200","3.2687","0.0000","3.2687","2.1791","0.0040","0.0000"
"3.9400","3.2851","0.0001","3.2851","2.1901","0.0062","0.0000"
"3.9600","3.3019","0.0001","3.3019","2.2013","0.0105","0.0000"
"3.9800","3.3185","0.0000","3.3185","2.2124","0.0041","0.0000"
"4.0000","3.3351","0.0000","3.3351","2.2234","0.0030","0.0000"
"4.0200","3.3518","0.0000","3.3518","2.2346","0.0045","0.0000"
"4.0400","3.3687","0.0001","3.3687","2.2458","0.0070","0.0000"
"4.0600","3.3852","0.0001","3.3852","2.2568","0.0084","0.0000"
"4.0800","3.4017","0.0000","3.4017","2.2678","0.0042","0.0000"
