 ,Label,Area,X,Y,Perim.,Major,Minor,Angle,Circ.,AR,Round,Solidity
213,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1722-0330:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,50.375,22.954,121.689,26.996,10.071,6.368,116.702,0.869,1.581,0.632,1.000
214,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1454-0203:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,42.877,14.229,103.117,24.819,8.665,6.300,120.602,0.875,1.375,0.727,1.000
215,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1338-0089:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,70.755,6.178,94.460,31.460,11.496,7.836,174.750,0.898,1.467,0.682,0.989
216,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1561-0117:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,49.453,8.436,110.383,26.313,9.575,6.576,171.741,0.898,1.456,0.687,1.001
217,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1650-0106:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,38.763,7.716,116.294,23.030,8.108,6.087,153.998,0.918,1.332,0.751,1.000
218,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1143-0195:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,147.030,13.666,80.962,45.014,15.563,12.029,128.041,0.912,1.294,0.773,0.992
219,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-1306-0238:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,47.904,16.946,91.960,25.207,8.159,7.476,128.832,0.947,1.091,0.916,1.001
220,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0165-1781:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,59.317,125.640,11.757,29.093,10.898,6.930,142.885,0.881,1.573,0.636,1.000
221,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0185-1215:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,49.558,85.738,13.186,26.286,9.687,6.514,129.014,0.901,1.487,0.672,0.999
222,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0330-1856:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,34.040,130.975,23.336,21.665,7.671,5.650,108.306,0.911,1.358,0.737,1.000
223,210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_organism1.czi - C=0-1.tif:0038-0728-1644:c:1/4 z:38/74 - 210331_SpiroWS_DiOC6+MTtracker+DAPI_63X_orga,16.305,115.988,51.646,15.276,5.534,3.751,112.112,0.878,1.475,0.678,1.001
